Taxon	AC1	AC2	AC3	AC4	AM1	AM2	AM3	AM4
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Streptomycetaceae;Streptomyces	1	4	0	0	1	4	0	2
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Thermomonosporaceae;Thermomonospora	0	0	0	0	0	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Unassigned;Demequina	0	0	5	1	1	1	0	1
Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae	1	0	0	2	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Nitriliruptorales;Nitriliruptoraceae;Nitriliruptor	1	4	3	0	1	23	3	0
Bacteria;Actinobacteria;Actinobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter	0	1	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Solirubrobacterales	13	6	9	1	3	8	4	6
Bacteria;Actinobacteria;Actinobacteria;Solirubrobacterales;Conexibacteraceae;Conexibacter	0	2	2	4	1	2	0	1
Bacteria;BRC1	11	5	1	2	4	5	1	3
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae	0	0	0	0	1	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae	0	0	0	1	0	0	0	2
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	1	0	1	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales	0	0	1	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Cryomorphaceae;Fluviicola	0	0	0	0	1	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Cryomorphaceae;Owenweeksia	0	1	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae	2	1	1	1	0	0	0	1
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Flavobacterium	0	0	2	1	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Gramella	0	1	0	0	1	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Lutibacter	0	1	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Muricauda	0	3	3	2	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Polaribacter	0	0	1	0	0	0	0	1
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Robiginitalea	2	0	1	1	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Sediminibacter	0	1	1	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Zeaxanthinibacter	1	0	2	1	1	0	0	1
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales	3	1	1	3	2	0	1	2
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Chitinophagaceae	1	2	1	0	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Chitinophagaceae;Balneola	0	0	0	0	0	0	1	0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Chitinophagaceae;Chitinophaga	0	0	0	0	1	0	0	0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Chitinophagaceae;Gracilimonas	5	1	1	7	0	0	2	1
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Cyclobacteriaceae;Echinicola;vietnamensis	0	1	0	1	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Cytophagaceae;Adhaeribacter	0	1	0	0	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Cytophagaceae;Flexibacter	0	1	0	0	5	0	0	1
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Cytophagaceae;Pontibacter	0	1	0	0	2	0	1	0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Cytophagaceae;Pontibacter;akesuensis	0	1	0	0	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flammeovirgaceae	2	1	2	0	3	2	4	4
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flammeovirgaceae;Marinoscillum	0	2	1	0	0	0	5	2
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flammeovirgaceae;Marinoscillum;pacificum	0	0	0	0	0	0	1	0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flammeovirgaceae;Persicobacter	1	3	2	1	1	0	1	3
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flammeovirgaceae;Reichenbachiella	0	1	1	0	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Rhodothermaceae	5	3	4	5	1	8	4	8
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Rhodothermaceae;Rhodothermus	0	0	0	0	0	1	0	1
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Rhodothermaceae;Salinibacter	1	0	0	0	0	0	1	0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Rhodothermaceae;Salisaeta	1	0	3	1	0	0	3	2
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Saprospiraceae	0	1	0	1	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Saprospiraceae;Haliscomenobacter	0	1	0	2	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Saprospiraceae;Lewinella	1	0	0	0	0	0	0	2
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Saprospiraceae;Lewinella;persicus	1	0	0	0	0	0	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales	2	1	0	2	6	3	4	5
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Chlamydiaceae	0	0	1	0	1	0	0	1
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Chlamydiaceae;Clavochlamydia;salmonicola	0	0	0	1	1	0	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Criblamydiaceae;Criblamydia	0	1	0	0	0	0	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Parachlamydiaceae;Neochlamydia	0	1	1	0	0	0	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Parachlamydiaceae;Protochlamydia	0	2	0	0	1	2	0	1
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae	0	0	1	0	0	1	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae;Fritschea	1	1	0	0	1	0	1	1
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae;Rhabdochlamydia	1	1	0	0	0	0	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae;Simkania	0	0	0	0	0	0	1	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Waddliaceae;Waddlia	0	1	0	0	0	0	1	0
Bacteria;Chlorobi;Chlorobia;Chlorobiales	11	7	4	10	10	18	1	2
Bacteria;Chloroflexi	13	18	5	8	18	45	15	9
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales	1	2	8	4	10	3	8	5
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolinaceae	15	20	23	24	25	42	25	25
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolinaceae;Anaerolinea	1	0	0	0	1	0	0	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolinaceae;Bellilinea	4	4	1	0	0	0	2	1
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolinaceae;Leptolinea	0	0	0	0	1	0	0	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolinaceae;Longilinea	1	1	0	1	2	1	0	1
Bacteria;Chloroflexi;Caldilineae;Caldilineales	12	27	20	17	27	14	42	20
Bacteria;Chloroflexi;Caldilineae;Caldilineales;Caldilineaceae;Caldilinea	3	0	2	1	4	2	4	1
Bacteria;Chloroflexi;Chloroflexi;Chloroflexales;Chloroflexaceae;Roseiflexus	0	0	0	0	2	0	0	0
Bacteria;Chloroflexi;Dehalococcoidetes;Unassigned;Unassigned;Dehalogenimonas	1	0	0	0	1	1	2	1
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;Ktedonobacter	0	0	0	0	1	1	0	0
Bacteria;Chloroflexi;SAR202	1	2	2	0	0	0	4	1
Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales;Sphaerobacteraceae;Sphaerobacter	1	1	0	0	0	0	2	0
Bacteria;Cyanobacteria	1	0	0	1	2	1	1	1
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;Unassigned;Acaryochloris	0	1	0	0	0	0	0	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;Unassigned;Cyanothece	0	0	0	0	0	1	0	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionI;Unassigned;Synechococcus	1	0	0	0	0	0	0	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIII	1	0	0	0	1	1	0	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIII;Unassigned	0	0	0	0	2	0	2	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIII;Unassigned;Leptolyngbya	0	0	1	0	10	0	0	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIII;Unassigned;Lyngbya	0	0	1	0	0	0	0	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIII;Unassigned;Phormidium	0	0	0	0	3	1	0	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIII;Unassigned;Spirulina	0	0	0	1	0	1	0	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIII;Unassigned;Symploca	0	0	0	0	2	0	0	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIV	0	0	0	0	1	0	2	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIV;Unassigned;Brasilonema	0	0	2	0	0	0	0	0
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionIV;Unassigned;Nodularia	0	0	0	0	4	1	1	0
Bacteria;Deferribacteres;Deferribacteres;Deferribacterales	2	2	2	1	1	2	0	1
Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Unassigned;Caldithrix	1	6	10	19	0	0	0	4
Bacteria;Deinococcus-Thermus	0	0	0	0	0	0	1	0
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus	0	0	2	0	0	1	0	0
Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales	0	0	0	1	0	2	1	0
Bacteria;Firmicutes	0	0	0	0	0	0	1	0
Bacteria;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae;Alicyclobacillus	2	0	0	1	1	5	1	1
Bacteria;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae;Alicyclobacillus;ferripilum	0	0	0	0	0	1	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus	4	12	0	2	23	11	12	5
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;alkalitelluris	1	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;niabensis	0	0	0	0	0	1	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Halobacillus	1	1	0	2	1	1	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Pontibacillus	0	0	0	0	0	2	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Salinibacillus;kushneri	0	0	1	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Thalassobacillus	0	1	0	0	0	0	1	1
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Ammoniphilus	0	0	0	0	2	1	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus	0	0	0	0	1	4	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;forsythiae	0	0	0	0	0	1	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;lentimorbus	0	0	0	0	0	1	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;macerans	0	0	0	0	1	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae	0	1	0	0	1	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Lysinibacillus	1	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Sporosarcina	0	0	0	0	1	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae	1	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Thermoactinomycetaceae;Shimazuella	0	0	0	1	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae	0	0	0	1	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella	0	0	0	0	0	1	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Tetragenococcus	1	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae	1	0	0	0	0	0	0	2
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Caminicella	0	1	0	0	0	0	3	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridiisalibacter	1	0	0	0	0	1	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium	0	0	0	2	0	2	3	2
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;caminithermale	0	0	0	0	0	1	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Geosporobacter	0	1	0	0	0	0	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Oxobacter	0	0	0	1	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Acetobacterium	0	0	0	0	0	0	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Gracilibacteraceae;Lutispora	0	1	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae	1	0	1	2	0	2	1	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Syntrophococcus	0	0	0	0	0	0	0	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Desulfosporosinus	0	1	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Pelotomaculum	0	0	0	0	1	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae	0	0	1	1	0	1	1	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Sporacetigenium	1	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Sporanaerobacter	0	0	0	0	0	0	0	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	2	1	2	1	1	1	1	5
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acetivibrio	1	3	1	1	2	1	1	1
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Butyricicoccus	0	1	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Fastidiosipila	0	0	0	1	0	0	2	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter	0	0	0	0	1	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillospira	0	1	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Papillibacter	1	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Syntrophomonadaceae;Syntrophomonas	0	0	1	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Unassigned;Anaerovorax	0	0	0	0	1	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae	0	0	0	0	1	0	0	0
Bacteria;Firmicutes;Clostridia;Halanaerobiales;Halanaerobiaceae;Halocella	0	1	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Halanaerobiales;Halanaerobiaceae;Halothermothrix;orenii	0	0	1	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Halanaerobiales;Halobacteroidaceae	0	0	0	0	0	1	1	0
Bacteria;Firmicutes;Clostridia;Thermoanaerobacterales;Thermoanaerobacteraceae	0	1	0	0	0	1	0	0
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Turicibacter	0	0	0	0	0	1	0	0
