Taxon	AC1	AC2	AC3	AC4	AM1	AM2	AM3	AM4
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Hyphomonas;Hyphomonas	6	0	3	1	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Maricaulis	1	0	0	1	1	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Robiginitomaculum	0	0	0	0	0	1	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Parvularculales;Parvularculaceae;Parvularcula	1	2	4	1	0	12	4	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales	3	4	0	3	4	3	8	4
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Aurantimonadaceae	0	0	0	0	0	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Aurantimonadaceae;Fulvimarina;pelagi	0	1	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bartonellaceae;Bartonella	1	0	0	0	2	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bartonellaceae;Bartonella;elizabethae	0	0	0	0	2	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae	0	1	0	0	1	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Afipia	1	0	0	1	0	1	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium	0	0	0	1	4	1	0	2
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Brucellaceae;Daeguia	0	0	1	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Brucellaceae;Ochrobactrum	0	0	1	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae	0	0	0	3	2	2	1	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Devosia	4	4	3	3	7	10	4	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Filomicrobium	3	2	2	1	2	2	1	2
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Hyphomicrobium	1	0	0	0	1	0	0	3
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Maritalea	1	0	0	1	1	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Pedomicrobium	0	2	0	0	1	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Prosthecomicrobium	7	5	5	4	4	9	2	2
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Prosthecomicrobium;consociatum	0	0	0	0	0	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Rhodomicrobium	0	0	0	2	2	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Rhodoplanes	0	0	0	0	0	1	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae	0	0	0	0	1	1	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Meganema	0	0	0	0	1	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium	0	0	0	1	1	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae	4	3	4	1	4	1	6	7
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae	2	1	3	4	0	3	3	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Ahrensia	1	1	1	1	0	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Hoeflea	1	1	0	3	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Mesorhizobium	10	1	3	5	9	3	3	4
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Mesorhizobium;mediterraneum	1	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Nitratireductor	2	3	1	4	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Phyllobacterium	1	1	2	0	0	1	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae	0	0	0	1	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Ensifer	2	0	1	2	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium	1	1	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodobiaceae;Afifella	1	0	1	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodobiaceae;Anderseniella	1	0	1	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodobiaceae;Parvibaculum	4	1	0	0	0	0	7	5
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhodobiaceae;Rhodobium	7	6	4	2	5	5	2	6
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Unassigned;Nordella	1	1	0	0	1	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae	0	1	1	0	2	2	0	3
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Labrys	0	0	0	0	0	0	1	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Pseudolabrys	2	2	1	4	7	6	1	2
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae	16	10	12	13	11	4	10	7
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Albidovulum	0	0	0	1	1	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Amaricoccus	0	1	1	1	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Citreicella	0	0	0	0	0	1	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Donghicola	1	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Labrenzia	1	1	4	0	0	2	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Lutimaribacter	0	0	0	0	1	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Marinosulfomonas	1	0	2	1	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Maritimibacter	1	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Nereida;ignava	0	0	0	1	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Palleronia	0	0	1	0	0	1	1	4
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus	0	1	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter	0	0	0	0	0	2	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodovulum	1	0	1	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseivivax	0	1	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Roseovarius	1	2	2	1	1	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rubrimonas	0	1	1	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Sediminimonas	0	0	0	1	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Stappia	1	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Thalassobacter	0	0	0	0	1	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Thalassococcus	0	0	0	0	3	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Thioclava	0	1	0	0	0	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Tranquillimonas;alkanivorans	0	0	0	0	1	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Tropicimonas	3	2	1	1	1	0	0	2
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales	3	2	0	0	11	3	0	2
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Stella	0	0	0	0	0	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae	23	9	18	19	11	8	16	7
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Caenispirillum	0	0	0	0	0	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Defluviicoccus	6	9	11	11	13	4	4	11
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Fodinicurvata	0	0	1	0	0	0	3	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Inquilinus	0	0	0	0	0	1	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Magnetospirillum	0	0	0	1	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Nisaea	1	0	1	0	3	1	1	2
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Novispirillum	0	0	0	0	0	0	1	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Oceanibaculum	2	0	0	0	0	0	1	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Pelagibius	15	19	12	10	12	3	14	25
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodovibrio;salinarum	1	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Thalassospira	1	2	1	11	1	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Unassigned;Alysiosphaera	0	2	0	2	1	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales	1	1	3	0	0	1	5	5
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Holosporaceae;Holospora	0	0	1	0	0	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae	1	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Rickettsia	0	0	0	0	1	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;SAR116	1	0	0	0	0	0	1	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Unassigned;Caedibacter	0	1	0	0	1	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Unassigned;Captivus	1	0	0	0	1	1	1	1
Bacteria;Proteobacteria;Alphaproteobacteria;Sneathiellales;Sneathiellaceae;Sneathiella	0	1	0	3	0	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales	6	0	4	1	5	2	0	4
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae	1	0	1	0	3	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Altererythrobacter	5	2	6	3	3	0	2	6
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Erythrobacter	3	1	3	3	2	1	0	4
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae	1	0	0	0	1	0	0	1
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium	3	0	0	0	0	1	2	0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;naphthalenivor	0	0	0	0	0	2	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium	0	0	0	0	1	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	0	1	1	1	6	0	1	1
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingopyxis	1	0	0	1	0	1	1	0
Bacteria;Proteobacteria;Betaproteobacteria	7	3	2	3	3	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae	0	0	0	1	0	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Aquabacterium	0	0	0	1	0	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga	0	0	0	1	0	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Methylibium	0	0	0	0	1	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Pelomonas	0	0	0	0	1	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Sphaerotilus	0	0	0	0	0	0	1	0
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia	0	0	0	0	0	0	0	1
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Unassigned;Thiomonas	0	0	0	0	0	1	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae	0	0	0	0	1	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;Thiobacillus	2	4	0	5	0	0	1	8
Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae	2	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;Methylophilus	4	2	0	6	0	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Silvimonas;iriomotensis	1	0	1	0	0	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Gallionellaceae	0	2	0	3	1	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae	3	10	6	1	7	6	5	12
Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosomonas	0	0	0	1	0	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira	0	0	0	0	0	0	1	0
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae	1	0	0	4	0	2	2	2
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azoarcus	1	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Thauera	0	0	1	0	0	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria	16	32	27	18	27	16	24	22
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoraceae	1	0	1	2	1	0	8	6
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoraceae;Peredibacter	0	0	0	1	0	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae	0	0	2	1	1	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio	0	2	0	1	1	2	0	1
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfarculales;Desulfarculaceae	2	1	1	5	1	1	1	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfarculales;Desulfarculaceae;Desulfarculus	2	1	0	0	0	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales	0	1	0	1	0	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae	12	7	7	23	0	0	1	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatibacillum	0	0	2	0	0	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatiferula;olefinivorans	0	2	0	0	0	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfobacterium	4	0	0	3	0	4	3	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfocella	0	0	1	0	0	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfococcus	0	1	0	2	0	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfonema	0	1	0	0	0	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulforegula;conservatrix	1	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfosarcina	2	1	0	2	0	0	1	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae	1	1	0	0	0	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfobacterium	2	0	1	5	0	0	1	2
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfobulbus	5	3	3	3	0	0	3	1
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfocapsa	0	1	0	1	1	5	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfopila	0	0	1	2	0	0	1	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulforhopalus	2	0	0	0	0	0	0	1
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfurivibrio	1	0	0	3	1	0	1	1
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Nitrospinaceae;Nitrospina	2	0	2	3	0	0	1	1
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Nitrospinaceae;Nitrospinaceae;Entotheonella	0	2	0	1	1	1	0	2
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfohalobiaceae	0	0	0	0	0	0	0	1
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Bilophila	1	1	0	0	1	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio	0	0	0	3	0	3	1	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;africanus	0	0	0	0	0	0	1	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;psychrotolerans	0	1	0	2	1	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfurellales;Desulfurellaceae	1	1	1	0	0	0	1	2
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales	1	1	1	4	1	0	1	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae	0	1	1	0	1	0	4	5
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Desulfuromonas	4	5	1	2	8	7	9	14
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Desulfuromonas;palmitatis	0	0	0	0	0	2	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Desulfuromusa	0	2	2	0	0	0	3	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Malonomas	1	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Pelobacter	2	2	0	1	0	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadaceae;Pelobacter;seleniigenes	0	0	0	0	0	1	2	1
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter	1	1	0	0	4	0	1	3
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geopsychrobacter	0	0	0	1	0	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geothermobacter	1	7	2	4	5	7	7	11
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geothermobacter;ehrlichii	0	1	0	1	0	0	0	2
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales	14	10	9	9	17	12	9	5
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Cystobacteraceae	0	0	0	0	0	0	1	0
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Haliangiaceae;Haliangium	2	6	5	1	0	1	3	2
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Haliangiaceae;Haliangium;ochraceum	0	0	1	0	0	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Haliangiaceae;Haliangium;tepidum	0	0	1	0	0	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Myxococcaceae	0	0	1	0	0	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Nannocystaceae	0	0	1	1	0	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Nannocystaceae;Enhygromyxa	0	3	0	0	0	0	0	3
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Nannocystaceae;Nannocystis	0	1	0	0	0	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Nannocystaceae;Plesiocystis	0	0	0	0	0	0	0	1
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Nannocystaceae;Plesiocystis;pacifica	0	0	1	0	0	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Phaselicystidaceae;Phaselicystis	1	1	2	1	2	0	1	0
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae	3	2	7	0	9	1	4	1
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Chondromyces	0	0	0	0	0	0	0	1
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Sorangium	1	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Polyangiaceae;Sorangium;cellulosum	0	0	0	0	1	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;SAR324	4	6	2	7	3	1	15	13
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae	1	0	0	0	0	0	2	0
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;Desulfobacca	0	0	0	0	0	0	0	1
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;Desulfomonile	0	0	0	0	0	0	0	1
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;Smithella	1	0	0	0	0	1	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;Syntrophus	0	0	0	2	0	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;Syntrophus;gentianae	1	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae	1	1	5	3	0	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;Desulfoacinum	0	0	0	0	1	0	0	0
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter	1	0	0	0	0	1	1	0
Bacteria;Proteobacteria;Deltaproteobacteria;Unassigned;Syntrophorhabdaceae;Syntrophorhabdus	1	1	0	0	0	0	0	0
Bacteria;Proteobacteria;Epsilonproteobacteria	0	0	0	0	0	0	0	1
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Sulfurovum	0	0	1	2	0	0	1	0
Bacteria;Proteobacteria;Gammaproteobacteria	48	45	62	38	21	38	45	41
Bacteria;Proteobacteria;Gammaproteobacteria;Acidithiobacillales	0	0	0	1	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus	6	4	8	8	2	2	39	16
Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae	0	2	2	0	1	0	2	0
Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Zobellella	1	0	4	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Zobellella;taiwanensis	0	0	3	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae	15	6	10	13	2	8	3	2
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Aliagarivorans	1	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas	0	0	0	1	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Bowmanella	1	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Endobugula	1	1	4	2	1	0	1	2
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Haliea	0	3	1	2	0	0	2	0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Marinobacter	0	0	1	0	2	2	1	2
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Microbulbifer	2	1	2	0	1	0	1	0
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;SAR92	0	1	0	0	0	0	1	1
