AC1_223	Bacteria;Chloroflexi
AC1_225	Bacteria;Chlorobi;Chlorobia;Chlorobiales
AC1_227	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales
AC1_229	Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae
AC1_231	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;Desulfobulbus
AC1_233	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae
AC1_237	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas
AC1_239	Bacteria;Proteobacteria;Alphaproteobacteria
AC1_241	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae
AC1_243	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
AC1_247	Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae
AC1_249	Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales
AC1_253	Bacteria;Chloroflexi
AC1_255	Bacteria;Chloroflexi
AC1_257	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae
AC1_259	Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales
AC1_261	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae
AC1_263	Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium
AC1_265	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;Coxiella
AC1_267	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Nocardioidaceae;Marmoricola
AC1_269	Bacteria;Acidobacteria;Acidobacteria_Gp22;Unassigned;Unassigned;Gp22
AC1_271	Unknown
AC1_273	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Mesorhizobium
AC1_277	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae
AC1_279	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae
AC1_281	Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae;Luteolibacter
AC1_283	Bacteria;Gemmatimonadetes;Gemmatimonadetes
AC1_285	Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales
AC1_289	Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae
AC1_293	Bacteria;Proteobacteria;Deltaproteobacteria
AC1_295	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bartonellaceae;Bartonella
AC1_296	Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;Rickettsiella
AC1_297	Bacteria;Proteobacteria;Alphaproteobacteria
AC1_300	Bacteria;TA06
AC1_301	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
AC1_302	Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophobacteraceae;Syntrophobacter
AC1_303	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales
AC1_305	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae
AC1_306	Bacteria;OD1
AC1_307	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae
AC1_308	Unknown
AC1_309	Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae
AC1_311	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae
AC1_312	Bacteria;Chloroflexi
AC1_313	Bacteria;Planctomycetes;Planctomycetacia;Planctomycetales;Planctomycetaceae
AC1_315	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae
AC1_317	Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales
AC1_318	Bacteria;Chlorobi;Chlorobia;Chlorobiales
AC1_319	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales
AC1_320	Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Microbulbifer
AC1_322	Bacteria;Gemmatimonadetes;Gemmatimonadetes
AC1_323	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Hoeflea
AC1_324	Bacteria;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae
AC1_325	Bacteria;Proteobacteria;Deltaproteobacteria;Desulfarculales;Desulfarculaceae
